Arquivo,Tamanho_Bytes,Algoritmo,Threads,Ocorrencias,Tempo_ms
DonQuixote-388208.txt,222584,SerialCPU,1,9,4
DonQuixote-388208.txt,222584,ParallelCPU-1Threads,1,9,15
DonQuixote-388208.txt,222584,ParallelCPU-2Threads,2,9,6
DonQuixote-388208.txt,222584,ParallelCPU-4Threads,4,9,2
DonQuixote-388208.txt,222584,ParallelCPU-8Threads,8,9,2
DonQuixote-388208.txt,222584,ParallelCPU-16Threads,16,9,3
DonQuixote-388208.txt,222584,ParallelGPU,GPU_Cores,9,3
DonQuixote-388208.txt,1112920,SerialCPU,1,9,2
DonQuixote-388208.txt,1112920,ParallelCPU-1Threads,1,9,7
DonQuixote-388208.txt,1112920,ParallelCPU-2Threads,2,9,4
DonQuixote-388208.txt,1112920,ParallelCPU-4Threads,4,9,2
DonQuixote-388208.txt,1112920,ParallelCPU-8Threads,8,9,2
DonQuixote-388208.txt,1112920,ParallelCPU-16Threads,16,9,1
DonQuixote-388208.txt,1112920,ParallelGPU,GPU_Cores,9,1
DonQuixote-388208.txt,2225840,SerialCPU,1,194,5
DonQuixote-388208.txt,2225840,ParallelCPU-1Threads,1,194,15
DonQuixote-388208.txt,2225840,ParallelCPU-2Threads,2,194,7
DonQuixote-388208.txt,2225840,ParallelCPU-4Threads,4,194,3
DonQuixote-388208.txt,2225840,ParallelCPU-8Threads,8,194,3
DonQuixote-388208.txt,2225840,ParallelCPU-16Threads,16,194,2
DonQuixote-388208.txt,2225840,ParallelGPU,GPU_Cores,194,3
Dracula-165307.txt,89038,SerialCPU,1,1284,0
Dracula-165307.txt,89038,ParallelCPU-1Threads,1,1284,0
Dracula-165307.txt,89038,ParallelCPU-2Threads,2,1284,0
Dracula-165307.txt,89038,ParallelCPU-4Threads,4,1284,0
Dracula-165307.txt,89038,ParallelCPU-8Threads,8,1284,0
Dracula-165307.txt,89038,ParallelCPU-16Threads,16,1284,0
Dracula-165307.txt,89038,ParallelGPU,GPU_Cores,1284,1
Dracula-165307.txt,445194,SerialCPU,1,5294,1
Dracula-165307.txt,445194,ParallelCPU-1Threads,1,5294,3
Dracula-165307.txt,445194,ParallelCPU-2Threads,2,5294,1
Dracula-165307.txt,445194,ParallelCPU-4Threads,4,5294,1
Dracula-165307.txt,445194,ParallelCPU-8Threads,8,5294,1
Dracula-165307.txt,445194,ParallelCPU-16Threads,16,5294,1
Dracula-165307.txt,445194,ParallelGPU,GPU_Cores,5294,2
Dracula-165307.txt,890389,SerialCPU,1,10438,2
Dracula-165307.txt,890389,ParallelCPU-1Threads,1,10438,7
Dracula-165307.txt,890389,ParallelCPU-2Threads,2,10438,4
Dracula-165307.txt,890389,ParallelCPU-4Threads,4,10438,1
Dracula-165307.txt,890389,ParallelCPU-8Threads,8,10438,1
Dracula-165307.txt,890389,ParallelCPU-16Threads,16,10438,1
Dracula-165307.txt,890389,ParallelGPU,GPU_Cores,10438,2
MobyDick-217452.txt,127628,SerialCPU,1,1683,0
MobyDick-217452.txt,127628,ParallelCPU-1Threads,1,1683,1
MobyDick-217452.txt,127628,ParallelCPU-2Threads,2,1683,0
MobyDick-217452.txt,127628,ParallelCPU-4Threads,4,1683,0
MobyDick-217452.txt,127628,ParallelCPU-8Threads,8,1683,0
MobyDick-217452.txt,127628,ParallelCPU-16Threads,16,1683,0
MobyDick-217452.txt,127628,ParallelGPU,GPU_Cores,1683,1
MobyDick-217452.txt,638142,SerialCPU,1,9144,2
MobyDick-217452.txt,638142,ParallelCPU-1Threads,1,9144,4
MobyDick-217452.txt,638142,ParallelCPU-2Threads,2,9144,2
MobyDick-217452.txt,638142,ParallelCPU-4Threads,4,9144,1
MobyDick-217452.txt,638142,ParallelCPU-8Threads,8,9144,1
MobyDick-217452.txt,638142,ParallelCPU-16Threads,16,9144,1
MobyDick-217452.txt,638142,ParallelGPU,GPU_Cores,9144,2
MobyDick-217452.txt,1276285,SerialCPU,1,19060,5
MobyDick-217452.txt,1276285,ParallelCPU-1Threads,1,19060,10
MobyDick-217452.txt,1276285,ParallelCPU-2Threads,2,19060,5
MobyDick-217452.txt,1276285,ParallelCPU-4Threads,4,19060,3
MobyDick-217452.txt,1276285,ParallelCPU-8Threads,8,19060,1
MobyDick-217452.txt,1276285,ParallelCPU-16Threads,16,19060,1
MobyDick-217452.txt,1276285,ParallelGPU,GPU_Cores,19060,2
